,Unnamed: 0,id,TVShow,Episode,year,minutes,averageRating,numVotes
123052,435792,tt0995342,Gintama,S01E20 Beruto konbea ni wa ki o tsukero,2006,24,8.1,404
132900,670120,tt10510764,Small Sacrifices,S01E02 Part II,1989,120,5.8,8
73553,201858,tt0693556,The Saint,S03E01 The Miracle Tea Party,1964,49,7.4,146
81992,225293,tt0717290,Tales of Wells Fargo,S06E25 Who Lives by the Gun,1962,60,8.2,28
3099,4968,tt0262696,Police Call 110,S29E07 Bis zur letzten Sekunde,2000,88,7.3,34
87760,251993,tt0744403,Water Rats,S05E29 We Could Be Heroes,2000,42,7.6,11
130423,603980,tt1036145,Life,S01E01 Pilot: Merit Badge,2007,43,8.0,596
104926,323070,tt0843899,Dog the Bounty Hunter,S03E12 Cupid in Cuffs,2006,21,8.0,20
20670,45829,tt0535211,Cagney & Lacey,S07E20 Yup,1988,48,6.7,40
62087,164832,tt0655917,N.Y.P.D.,S01E16 Cruise to Oblivion,1967,30,5.6,14
67099,182554,tt0673930,Petticoat Junction,"S06E05 Granny, the Baby Expert",1968,26,7.1,39
97924,292274,tt0796054,Dog the Bounty Hunter,S03E03 A Helping Hand,2006,21,7.0,8
87104,250909,tt0743314,Waiting for God,S01E05 Fraulein Mueller,1990,29,7.5,49
79851,218140,tt0710045,Step by Step,S02E06 The Boss,1992,30,6.5,76
54732,147437,tt0638360,M*A*S*H,S05E21 Movie Tonight,1977,25,8.4,648
59548,158822,tt0649837,Mister Ed,S02E24 Lie Detector,1962,30,8.0,36
13861,30038,tt0518949,Barnaby Jones,S05E23 The Inside Man,1977,60,7.6,56
90969,260101,tt0752750,Your Jeweler's Showcase,S01E02 Operation E.S.P.,1952,26,6.2,14
7820,15551,tt0504151,The A-Team,S01E05 Black Day at Bad Rock,1983,49,7.7,519
147623,1024281,tt11279538,Holiday Baking Championship,S05E04 Holiday Artistry,2018,42,7.0,7
64392,172827,tt0664078,Occasional Wife,S01E06 The Promotion,1966,30,6.0,6
61851,164110,tt0655170,My Two Dads,S02E16 Getting Smart,1989,23,8.7,47
